Company,Zip Prefix,WeekNum,Sales,Temp,Precip,GoogTrend,GoogTrendM1,GoogTrendR,GoogTrendRM1,Gprice,Non-Physical Sales,Month
H&M,1,1,136.35,25.2515,0.18813,46,53,24,27,3.2631,61492760.7,1
H&M,1,2,105.7,37.5726,0.15249,48,46,25,24,3.2574,57539409.47,1
H&M,1,3,12.5,17.4061,0.011381,49,48,25,25,3.2404,54173417.13,1
H&M,1,5,5.95,23.438,0.14302,52,48,27,25,3.248,57741423.48,2
H&M,1,13,55.84,40.1358,0.42148,57,59,30,31,3.5253,66181801.73,4
H&M,1,19,7.99,62.0555,0.16459,55,58,28,30,3.5956,54014649.01,5
H&M,1,20,25.98,54.9327,0.093506,54,55,28,28,3.598,53551134.32,5
H&M,1,26,45.92,70.954,0.26992,54,49,28,26,3.6243,60978421.45,7
H&M,1,28,17.95,69.0142,0.267,53,48,27,25,3.5468,49419270.48,7
H&M,1,29,16.47,69.0213,0.050543,54,53,27,27,3.5034,47079927.57,7
H&M,1,30,19.95,68.621,0.21841,58,54,30,27,3.4612,58994478.82,7
H&M,1,31,5,68.9351,0.016635,58,58,30,30,3.4483,64061272.56,8
H&M,1,32,172.35,66.4416,0.24699,61,58,32,30,3.4331,53130059.7,8
H&M,1,35,233.84,74.2255,0.21603,53,56,27,28,3.4086,55122979.26,9
H&M,1,37,107.7,53.66,0.0039197,61,53,33,28,3.332,50482052.06,9
H&M,1,38,169.77,59.3022,0.054687,60,61,31,33,3.2989,49056480.9,9
H&M,1,39,24.95,58.0236,0.15557,60,60,30,31,3.2833,65895762.01,10
H&M,1,40,395.9,53.3318,0.039008,63,60,32,30,3.2106,50791777.24,10
H&M,1,42,9.95,48.6612,0.43568,63,65,34,34,3.0507,49073930.89,10
H&M,1,43,143.35,48.0272,0.064097,59,63,31,34,2.9946,54946270.97,10
H&M,1,44,64.85,42.8335,0.064144,85,59,44,31,2.9385,54283147.72,11
H&M,1,45,108.61,40.8394,0.0266,72,85,37,44,2.8888,52345358.6,11
H&M,1,46,76.7,31.0579,0.17682,69,72,36,37,2.8292,59302549.18,11
H&M,1,47,77.85,37.5537,0.25349,100,69,52,36,2.7656,71155437.58,11
H&M,1,49,122.68,30.2184,0.34937,66,82,35,44,2.5858,95699514.06,12
H&M,1,50,18.74,33.7532,0.06098,65,66,35,35,2.4426,110545404.8,12
H&M,1,51,62.34,39.0401,0.1129,66,65,36,35,2.301,67497543.99,12
H&M,2,1,2778.18,28.4258,0.15988,46,53,24,27,3.2631,61492760.7,1
H&M,2,2,1926.22,39.6915,0.19391,48,46,25,24,3.2574,57539409.47,1
H&M,2,3,3355.68,21.1656,0.022539,49,48,25,25,3.2404,54173417.13,1
H&M,2,4,2436.32,24.9873,0.009636,48,49,25,25,3.2417,62557438.97,1
H&M,2,5,3737.83,27.5796,0.16983,52,48,27,25,3.248,57741423.48,2
H&M,2,6,4118.05,24.0883,0.25952,46,52,24,27,3.2816,58429948.63,2
H&M,2,7,5436.28,30.758,0.12643,52,46,27,24,3.3503,58527582.51,2
H&M,2,8,4992.78,25.0737,0.0082075,49,52,25,27,3.4036,68292043.94,2
H&M,2,9,4166.48,25.8317,0.0079345,51,49,27,25,3.4321,67214297.82,3
H&M,2,10,5779.85,36.5769,0.064186,55,51,29,27,3.4652,55112365.96,3
H&M,2,11,5585.42,33.7043,0.057389,54,55,29,29,3.4883,55204513.98,3
H&M,2,12,4992.98,33.7207,0.12575,59,54,31,29,3.4991,56587827.29,3
H&M,2,13,5143.9401,41.3421,0.46453,57,59,30,31,3.5253,66181801.73,4
H&M,2,14,7412.88,49.8999,0.10606,56,57,29,30,3.5501,53044599.44,4
H&M,2,15,5900.68,47.2539,0.19822,59,56,31,29,3.5921,55548326.56,4
H&M,2,16,5353.87,48.9527,0.092056,53,59,27,31,3.6202,52812187.85,4
H&M,2,17,4447.13,49.3467,0.17819,54,53,28,27,3.6246,68064917.82,4
H&M,2,18,5594.6,56.293,0.029682,58,54,30,28,3.6028,58490928.6,5
H&M,2,19,6686.66,62.212,0.12268,55,58,28,30,3.5956,54014649.01,5
H&M,2,20,6705.71,57.5068,0.049518,54,55,28,28,3.598,53551134.32,5
H&M,2,21,6697.93,56.1056,0.065641,54,54,29,28,3.6131,61517631.73,5
H&M,2,22,5974.59,62.626,0.10696,51,54,27,29,3.619,63331249.72,6
H&M,2,23,5466.02,66.3449,0.12821,52,51,27,27,3.6139,57372480.77,6
H&M,2,24,5772.36,68.2066,0.017461,51,52,27,27,3.6274,56249930.11,6
H&M,2,25,5189.57,67.7234,0.043458,49,51,26,27,3.6376,58537999.83,6
H&M,2,26,5044.95,73.9108,0.3756,54,49,28,26,3.6243,60978421.45,7
H&M,2,27,4869.89,74.0555,0.015869,48,54,25,28,3.5889,55234038.75,7
H&M,2,28,3515.66,72.5924,0.18629,53,48,27,25,3.5468,49419270.48,7
H&M,2,29,2960.65,71.182,0.01677,54,53,27,27,3.5034,47079927.57,7
H&M,2,30,3925.11,70.081,0.11166,58,54,30,27,3.4612,58994478.82,7
H&M,2,31,3631.72,70.1965,0.021629,58,58,30,30,3.4483,64061272.56,8
H&M,2,32,5617.4,68.4186,0.13836,61,58,32,30,3.4331,53130059.7,8
H&M,2,33,5297.27,66.5669,0.0082894,60,61,32,32,3.4041,53607957.56,8
H&M,2,34,3658.39,69.0573,0.0042038,56,60,28,32,3.4016,59269432.69,8
H&M,2,35,5950.05,76.0482,0.058235,53,56,27,28,3.4086,55122979.26,9
H&M,2,36,3255.41,64.4231,0.041811,53,53,28,27,3.3867,50113793.18,9
H&M,2,37,5561.7,56.4722,0.00057325,61,53,33,28,3.332,50482052.06,9
H&M,2,38,4281.42,61.3621,0.029836,60,61,31,33,3.2989,49056480.9,9
H&M,2,39,3438.82,59.1975,0.22411,60,60,30,31,3.2833,65895762.01,10
H&M,2,40,3987.48,55.3685,0.060773,63,60,32,30,3.2106,50791777.24,10
H&M,2,41,5140.99,61.3121,0.10888,65,63,34,32,3.1195,47355591.03,10
H&M,2,42,4342.83,51.2921,0.42865,63,65,34,34,3.0507,49073930.89,10
H&M,2,43,3365.38,51.6024,0.077534,59,63,31,34,2.9946,54946270.97,10
H&M,2,44,2858.52,45.2866,0.12705,85,59,44,31,2.9385,54283147.72,11
H&M,2,45,4895.42,43.3822,0.043958,72,85,37,44,2.8888,52345358.6,11
