zip,state,Region,zip_first_two_digits,zip_first_three_digits
00544,NY,Northeast,00,005
00601,PR,!NA!,00,006
00602,PR,!NA!,00,006
00603,PR,!NA!,00,006
00604,PR,!NA!,00,006
00605,PR,!NA!,00,006
00606,PR,!NA!,00,006
00610,PR,!NA!,00,006
00611,PR,!NA!,00,006
00612,PR,!NA!,00,006
00613,PR,!NA!,00,006
00614,PR,!NA!,00,006
00616,PR,!NA!,00,006
00617,PR,!NA!,00,006
00622,PR,!NA!,00,006
00623,PR,!NA!,00,006
00624,PR,!NA!,00,006
00627,PR,!NA!,00,006
00631,PR,!NA!,00,006
00636,PR,!NA!,00,006
00637,PR,!NA!,00,006
00638,PR,!NA!,00,006
00641,PR,!NA!,00,006
00646,PR,!NA!,00,006
00647,PR,!NA!,00,006
00650,PR,!NA!,00,006
00652,PR,!NA!,00,006
00653,PR,!NA!,00,006
00656,PR,!NA!,00,006
00659,PR,!NA!,00,006
00660,PR,!NA!,00,006
00662,PR,!NA!,00,006
00664,PR,!NA!,00,006
00667,PR,!NA!,00,006
00669,PR,!NA!,00,006
00670,PR,!NA!,00,006
00674,PR,!NA!,00,006
00676,PR,!NA!,00,006
00677,PR,!NA!,00,006
00678,PR,!NA!,00,006
00680,PR,!NA!,00,006
00681,PR,!NA!,00,006
00682,PR,!NA!,00,006
00683,PR,!NA!,00,006
00685,PR,!NA!,00,006
00687,PR,!NA!,00,006
00688,PR,!NA!,00,006
00690,PR,!NA!,00,006
00692,PR,!NA!,00,006
00693,PR,!NA!,00,006
00694,PR,!NA!,00,006
00698,PR,!NA!,00,006
00703,PR,!NA!,00,007
00704,PR,!NA!,00,007
00705,PR,!NA!,00,007
00707,PR,!NA!,00,007
00714,PR,!NA!,00,007
00715,PR,!NA!,00,007
00716,PR,!NA!,00,007
00717,PR,!NA!,00,007
00718,PR,!NA!,00,007
00719,PR,!NA!,00,007
00720,PR,!NA!,00,007
00721,PR,!NA!,00,007
00723,PR,!NA!,00,007
00725,PR,!NA!,00,007
00726,PR,!NA!,00,007
00727,PR,!NA!,00,007
00728,PR,!NA!,00,007
00729,PR,!NA!,00,007
00730,PR,!NA!,00,007
00731,PR,!NA!,00,007
00732,PR,!NA!,00,007
00733,PR,!NA!,00,007
00734,PR,!NA!,00,007
00735,PR,!NA!,00,007
00736,PR,!NA!,00,007
00737,PR,!NA!,00,007
00738,PR,!NA!,00,007
00739,PR,!NA!,00,007
00740,PR,!NA!,00,007
00741,PR,!NA!,00,007
00742,PR,!NA!,00,007
00744,PR,!NA!,00,007
00745,PR,!NA!,00,007
00751,PR,!NA!,00,007
00754,PR,!NA!,00,007
00757,PR,!NA!,00,007
00765,PR,!NA!,00,007
00766,PR,!NA!,00,007
00767,PR,!NA!,00,007
00769,PR,!NA!,00,007
00771,PR,!NA!,00,007
00772,PR,!NA!,00,007
00773,PR,!NA!,00,007
00775,PR,!NA!,00,007
00777,PR,!NA!,00,007
00778,PR,!NA!,00,007
00780,PR,!NA!,00,007
00782,PR,!NA!,00,007
00783,PR,!NA!,00,007
00784,PR,!NA!,00,007
00785,PR,!NA!,00,007
00786,PR,!NA!,00,007
00791,PR,!NA!,00,007
00792,PR,!NA!,00,007
00794,PR,!NA!,00,007
00795,PR,!NA!,00,007
00801,VI,!NA!,00,008
00802,VI,!NA!,00,008
00803,VI,!NA!,00,008
00804,VI,!NA!,00,008
00805,VI,!NA!,00,008
00820,VI,!NA!,00,008
00821,VI,!NA!,00,008
00822,VI,!NA!,00,008
00823,VI,!NA!,00,008
00824,VI,!NA!,00,008
00830,VI,!NA!,00,008
00831,VI,!NA!,00,008
00840,VI,!NA!,00,008
00841,VI,!NA!,00,008
00850,VI,!NA!,00,008
00851,VI,!NA!,00,008
00901,PR,!NA!,00,009
00902,PR,!NA!,00,009
00906,PR,!NA!,00,009
00907,PR,!NA!,00,009
00908,PR,!NA!,00,009
00909,PR,!NA!,00,009
00910,PR,!NA!,00,009
00911,PR,!NA!,00,009
00912,PR,!NA!,00,009
00913,PR,!NA!,00,009
00914,PR,!NA!,00,009
00915,PR,!NA!,00,009
00916,PR,!NA!,00,009
00917,PR,!NA!,00,009
00918,PR,!NA!,00,009
00919,PR,!NA!,00,009
00920,PR,!NA!,00,009
00921,PR,!NA!,00,009
00922,PR,!NA!,00,009
00923,PR,!NA!,00,009
00924,PR,!NA!,00,009
00925,PR,!NA!,00,009
00926,PR,!NA!,00,009
00927,PR,!NA!,00,009
00928,PR,!NA!,00,009
00929,PR,!NA!,00,009
00930,PR,!NA!,00,009
00931,PR,!NA!,00,009
00933,PR,!NA!,00,009
00934,PR,!NA!,00,009
00935,PR,!NA!,00,009
00936,PR,!NA!,00,009
00937,PR,!NA!,00,009
00939,PR,!NA!,00,009
00940,PR,!NA!,00,009
00949,PR,!NA!,00,009
00950,PR,!NA!,00,009
00951,PR,!NA!,00,009
00952,PR,!NA!,00,009
00953,PR,!NA!,00,009
00954,PR,!NA!,00,009
00955,PR,!NA!,00,009
00956,PR,!NA!,00,009
00957,PR,!NA!,00,009
00958,PR,!NA!,00,009
00959,PR,!NA!,00,009
00960,PR,!NA!,00,009
00961,PR,!NA!,00,009
00962,PR,!NA!,00,009
00963,PR,!NA!,00,009
00965,PR,!NA!,00,009
00966,PR,!NA!,00,009
00968,PR,!NA!,00,009
00969,PR,!NA!,00,009
00970,PR,!NA!,00,009
00971,PR,!NA!,00,009
00975,PR,!NA!,00,009
00976,PR,!NA!,00,009
00977,PR,!NA!,00,009
00978,PR,!NA!,00,009
00979,PR,!NA!,00,009
00981,PR,!NA!,00,009
00982,PR,!NA!,00,009
00983,PR,!NA!,00,009
00984,PR,!NA!,00,009
00985,PR,!NA!,00,009
00986,PR,!NA!,00,009
00987,PR,!NA!,00,009
00988,PR,!NA!,00,009
01001,MA,Northeast,01,010
01002,MA,Northeast,01,010
01003,MA,Northeast,01,010
01004,MA,Northeast,01,010
01005,MA,Northeast,01,010
01007,MA,Northeast,01,010
01008,MA,Northeast,01,010
01009,MA,Northeast,01,010
01010,MA,Northeast,01,010
01011,MA,Northeast,01,010
01012,MA,Northeast,01,010
01013,MA,Northeast,01,010
01014,MA,Northeast,01,010
01020,MA,Northeast,01,010
01021,MA,Northeast,01,010
01022,MA,Northeast,01,010
01026,MA,Northeast,01,010
01027,MA,Northeast,01,010
01028,MA,Northeast,01,010
01029,MA,Northeast,01,010
01030,MA,Northeast,01,010
01031,MA,Northeast,01,010
01032,MA,Northeast,01,010
01033,MA,Northeast,01,010
01034,MA,Northeast,01,010
01035,MA,Northeast,01,010
01036,MA,Northeast,01,010
01037,MA,Northeast,01,010
01038,MA,Northeast,01,010
